Rank,Lemma,POS,Definition,
1830,aircraft,noun,a vehicle that can fly,飛行機
1831,self,noun,the person that someone normally or truly is — used to describe the way someone acts or feels,自身、自我
1832,metal,noun,"a substance (such as gold, tin, or copper) that usually has a shiny appearance, is a good conductor of electricity and heat, can be melted, and is usually capable of being shaped ",金属
1833,existence,noun,the state of being real ,存在
1834,bone,noun,any one of the hard pieces that form the frame (called a skeleton) inside a person's or animal's body ,骨
1835,panel,noun,a group of people who answer questions or give opinions,パネル
1836,prime,adjective,"most important, chief importance in value",主要な
1837,appointment,noun,a time you have arranged to meet someone or go somewhere,予約
1838,emphasize,verb,to show that something is especially important or needs special attention,強調する
1839,maximum,adjective,The maximum amount of something is the largest amount that is allowed or possible,最大限
1840,effectively,adverb,in a way that is successful and achieves what you want,効率的な
1841,elsewhere,adverb,in or to another place ,他の所で
1842,bother,verb,to make someone feel worried or upset,悩ます
1843,initiative,noun,a plan or activity that is done to solve a problem or improve a situation,取り組み
1844,sharp,adjective,having a thin edge that is able to cut things or a fine point that is able to make a hole in things,鋭い
1845,diet,noun,the type of food that someone usually eats; when someone eats less food to lose weight or because of a medical problem,食事、ダイエット
1846,motion,noun, an act or process of moving,動き
1847,gray,noun, having a color between black and white : having a color that is like the color of smoke,灰色
1848,plastic,noun,"a light, artificial substance that can be made into different shapes when it is soft and is used in a lot of different ways",プラスチック
1849,complicate,verb,to make (something) more difficult or less simple ,複雑にする
1850,discipline,noun,control that is gained by requiring that rules or orders be obeyed and punishing bad behavior ,訓練、しつけ、折檻
1851,disappoint,verb,to make (someone) unhappy by not being as good as expected or by not doing something that was hoped for or expected,がっかりさせる
1852,boss,noun,someone who is responsible for employees and tells them what to do,社長
1853,assumption,noun,something that you think is true without having any proof,思い込み
1854,freeze,verb,to be become a hard substance (such as ice) because of cold,凍る
1855,extreme,adjective,very great in degree,極度の
1856,passage,noun,"a long, narrow space that connects one place to another ",通路
1857,reputation,noun,the common opinion that people have about someone or something : the way in which people think of someone or something,評判
1858,forth,adverb,out into notice or view,前へ
1859,negotiation,noun,when people try to make or change an agreement by discussion,交渉
1860,mechanism,noun,a piece of machinery : a mechanical part or group of parts having a particular function ,メカニズム
1861,coat,noun,an outer piece of clothing that can be long or short and that is worn to keep warm or dry ,コート
1862,democracy,noun,"a system of government in which people elect their leaders, or a country with this system",民主主義
1863,pocket,noun," a usually small cloth bag that is sewn into a piece of clothing, a larger bag, etc., and that is open at the top or side so that you can put things into it ",ポケット
1864,lucky,adjective,having good things happen to you;  something that is believed to give good luck,幸運な
1865,crash,verb,to hit something hard enough to cause serious damage or destruction ,衝突する
1866,observation,noun,when someone watches someone or something carefully,観察
1867,meat,noun,the flesh of an animal used as food ,肉
1868,concentration,noun,the ability to think carefully about something you are doing and nothing else,集中力
1869,implication,noun,a result or effect that seems likely in the future; something suggested without being said directly,暗示、影響
1870,deserve,verb,used to say that someone or something should or should not have or be given ,～にふさわしい
1871,unusual,adjective,"different and not ordinary, often in a way that is interesting or exciting",珍しい
1872,defend,verb,to fight in order to keep (someone or something) safe ,防御する
1873,classic,noun,something popular or famous for a long time ,クラシック、古典
1874,king,noun, a male ruler of a country who usually inherits his position and rules for life,王様
1875,interaction,noun,"the activity of talking and doing things with other people, or the way you do this",交流
1876,repair,verb,to put (something that is broken or damaged) back into good condition : fix ,修理する
